player_name,event_date,event_name,event_category,best_round,finish,matches_played
Ahona RAY,2025-10-23,WTT Youth Contender Dubai 2025,U15 Girls Singles,Round of 32,Lost Round of 32,4
Ahona RAY,2026-01-02,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,U17 Girls' Singles,Round of 32,Lost Round of 32,3
Ahona RAY,2026-01-04,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,U15 Girls' Singles,Round of 16,Lost Round of 16,4
Ahona RAY,2026-01-14,WTT Youth Contender Manama 2026,U17 Girls' Singles,Group Stage,Group Stage (no knockout match),2
Ahona RAY,2026-01-16,WTT Youth Contender Manama 2026,U15 Girls' Singles,Semifinal,Lost Semifinal,5
Ahona RAY,2026-01-19,WTT Youth Contender Doha 2026,U17 Girls' Singles,Round of 32,Lost Round of 32,3
Ahona RAY,2026-01-21,WTT Youth Contender Doha 2026,U15 Girls' Singles,Final,Runner-up,5
Ahona RAY,2026-01-23,WTT Youth Star Contender Doha 2026,U15 Girls' Singles,Final,Champion,5
Ahona RAY,2026-04-09,ITTF-ATTU South Asia Youth Championships Shimla 2026,,,,2
Ahona RAY,2026-05-18,WTT Youth Contender Bangkok 2026,U17 Girls' Singles,Round of 64,Lost Round of 64,3
Ahona RAY,2026-05-20,WTT Youth Contender Bangkok 2026,U15 Girls' Singles,Round of 32,Lost Round of 32,4
Ahona RAY,2026-05-22,WTT Youth Star Contender Bangkok 2026,U15 Girls' Singles,Quarterfinal,Lost Quarterfinal,5
Hansini MATHAN,2025-06-26,29th Asian Youth Championships 2025,,,,1
Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,U19 Girls' Singles - Group 19 - Match 5,Group Stage,Group Stage (no knockout match),1
Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,U19 Girls' Singles - Group 19 - Match 1,Group Stage,Group Stage (no knockout match),1
Hansini MATHAN,2025-06-29,29th Asian Youth Championships 2025,U19 Girls' Singles - Group 19 - Match 3,Group Stage,Group Stage (no knockout match),1
Hansini MATHAN,2025-06-30,29th Asian Youth Championships 2025,U19 Girls' Singles - Round of 32 - Match 15,Round of 32,Lost Round of 32,1
Hansini MATHAN,2025-07-23,WTT Youth Contender Almaty 2025,U17 Girls Singles,Round of 32,Lost Round of 32,3
Hansini MATHAN,2025-07-25,WTT Youth Contender Almaty 2025,U19 Girls Singles,Group Stage,Group Stage (no knockout match),2
Hansini MATHAN,2025-08-29,WTT Feeder Olomouc 2025,Women's Singles,Round of 16,Lost Round of 16,3
Hansini MATHAN,2026-01-02,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,U17 Girls' Singles,Final,Runner-up,7
Hansini MATHAN,2026-01-04,WTT Youth Contender Vadodara 2026 Presented by Sports Authority of Gujarat,U19 Girls' Singles,Round of 16,Lost Round of 16,4
Hansini MATHAN,2026-01-09,WTT Feeder Vadodara 2026 Presented by Sports Authority of Gujarat,Women's Singles,Round of 16,Lost Round of 16,2
Hansini MATHAN,2026-02-02,WTT Youth Contender Tunis 2026,U17 Girls' Singles,Round of 16,Lost Round of 16,4
Hansini MATHAN,2026-02-04,WTT Youth Contender Tunis 2026,U19 Girls' Singles,Quarterfinal,Lost Quarterfinal,5
Hansini MATHAN,2026-02-06,WTT Youth Star Contender Tunis 2026,U19 Girls' Singles,Round of 16,Lost Round of 16,4
Hansini MATHAN,2026-02-11,WTT Star Contender Chennai 2026,Women's Singles,Qualifying Round 2,Qualifying Round 2,2
Hansini MATHAN,2026-05-18,WTT Youth Contender Bangkok 2026,U17 Girls' Singles,Round of 16,Lost Round of 16,5
Hansini MATHAN,2026-05-20,WTT Youth Contender Bangkok 2026,U19 Girls' Singles,Round of 32,Lost Round of 32,4
Hansini MATHAN,2026-05-22,WTT Youth Star Contender Bangkok 2026,U19 Girls' Singles,Quarterfinal,Lost Quarterfinal,5
Hansini MATHAN,2026-06-01,WTT Youth Contender Sandefjord 2026,U19 Girls' Singles,Final,Champion,5
Hansini MATHAN,2026-06-04,WTT Youth Contender Helsingborg 2026,U17 Girls' Singles,Semifinal,Lost Semifinal,5
